Number,German
1st,erste
2nd,zweite
3rd,dritte
4th,vierte
5th,funfte
6th,sechste
7th,siebte
8th,achte
9th,neunte
10th,zehnte
11th,elfte
12th,zwolfte
13th,dreizehnte
14th,vierzehnte
15th,funfzehnte
16th,sechzehnte
17th,siebzehnte
18th,achtzehnte
19th,neunzehnte
20th,zwanzigste
21th,einundzwanzigste
22nd,zweiundzwanzigste
23rd,dreiundzwanzigste
24th,vierundzwanzigste
25th,funfundzwanzigste
26th,sechsundzwanzigste
27th,siebenundzwanzigste
28th,achtundzwanzigste
29th,neunundzwanzigste
30th,dreiBigste
31st,einunddreiBigste